Imagem;Corte 5%;Corte 7%;Corte 10%;Corte 13%;Corte 15%;
sf_5110009-PPT.jpg;7220.0;7216.58;7376.08;7399.04;7543.26;
sf_5360472-PPT.jpg;4131.36;4184.94;4404.34;4502.18;4639.39;
sf_5361210-PPT.jpg;8318.13;8003.76;8266.23;8336.9;8763.33;
sf_5367921-PPT.jpg;12818.48;12910.69;12986.13;12986.58;12994.26;
sf_5367922-PPT.jpg;13739.42;13742.82;13730.26;13806.8;13956.18;
sf_5367923-PPT.jpg;14421.81;14303.62;14719.68;14826.53;15116.7;
sf_5367924-PPT.jpg;11526.26;11690.8;11745.17;11797.94;11822.72;
sf_5383669-PPT.jpg;19304.31;19379.42;19785.52;19973.3;20170.84;
sf_5383670-PPT.jpg;26729.78;26900.3;26948.59;26984.87;27049.15;
sf_5438976-PPT.jpg;11539.36;11746.38;11524.11;11767.81;11911.7;
sf_5438977-PPT.jpg;10860.4;11171.2;11497.78;11603.58;11633.32;
sf_5438978-PPT.jpg;9239.33;9260.11;9346.08;9395.78;9422.76;
sf_5507023-PPT.jpg;27454.91;27410.42;28290.66;28456.77;29004.76;
sf_5507028-PPT.jpg;11582.0;11811.82;12252.4;12524.18;12893.06;
